,event number,max_Q,max_Q_time,i_start,i_end,event_start_time,HINew,flushing_index, max_C,event_end_time
0,0,1.84908704,2016-12-18 13:00:00,7460,7627,2016-12-17 17:00:00,0.08224729280153473,0.6278688524590164,63.9,2016-12-19 10:45:00
1,1,4.8421728,2017-02-25 21:45:00,14119,14308,2017-02-25 01:45:00,0.3509775763238838,0.5575987020010817,202.0,2017-02-27 01:00:00
2,2,2.2058787200000003,2017-03-29 15:45:00,17141,17330,2017-03-28 13:15:00,0.25892738508316204,0.29745042492917845,44.7,2017-03-30 12:30:00
3,3,6.0314784,2017-04-04 09:15:00,17726,17915,2017-04-03 15:30:00,0.4511528207350814,0.4975643702157273,159.0,2017-04-05 14:45:00
4,4,8.693257599999999,2017-04-06 20:15:00,17991,18147,2017-04-06 09:45:00,0.17371396870562283,0.6072548141513658,245.0,2017-04-08 00:45:00
5,5,2.10676992,2017-05-02 04:15:00,20428,20583,2017-05-01 19:00:00,,0.3261964735516373,79.7,2017-05-03 09:45:00
6,7,1.8292652799999998,2017-06-06 04:00:00,23766,23936,2017-06-05 13:30:00,-0.2376367045437393,0.5401606425702812,54.0,2017-06-07 08:00:00
7,8,2.2228688,2017-10-24 14:45:00,37228,37419,2017-10-23 19:00:00,0.325158885186,0.5764914353219136,170.0,2017-10-25 18:45:00
8,9,24.210864,2017-10-29 23:30:00,37734,37924,2017-10-29 01:30:00,0.2510515466885383,0.42901349176878323,811.0,2017-10-31 01:00:00
9,10,11.2134528,2018-01-13 06:30:00,44940,45121,2018-01-12 03:00:00,0.10789529364345223,0.0783464566929134,274.0,2018-01-14 00:15:00
10,11,3.0015808,2018-01-23 13:00:00,45963,46148,2018-01-22 18:45:00,0.4015498722150378,0.5599329421626152,127.0,2018-01-24 17:00:00
11,12,1.93686912,2018-02-25 12:15:00,49164,49316,2018-02-25 03:00:00,0.3850344958116226,0.4168260038240917,63.4,2018-02-26 17:00:00
12,13,9.4011776,2018-04-16 14:45:00,53947,54125,2018-04-15 22:45:00,0.45632710389156983,0.4074803149606299,156.0,2018-04-17 19:15:00
13,14,3.2281152,2018-04-25 21:45:00,54814,54999,2018-04-24 23:30:00,0.09546779418437117,0.36211031175059943,51.5,2018-04-26 21:45:00
14,15,1.4130083199999999,2018-05-19 17:00:00,57118,57291,2018-05-18 23:30:00,0.06737043175639786,0.28477690288713914,78.6,2018-05-20 18:45:00
15,16,12.7142432,2018-07-24 08:15:00,63417,63554,2018-07-23 14:15:00,0.053089512380655124,0.8842289209261687,250.0,2018-07-25 00:30:00
16,17,11.468304,2018-07-25 08:45:00,63555,63700,2018-07-25 00:45:00,0.37057230236581196,0.8231173380035025,78.0,2018-07-26 13:00:00
17,18,6.5411808,2018-08-01 14:00:00,64224,64400,2018-08-01 00:00:00,0.49657764258495457,0.4370122630992196,184.0,2018-08-02 20:00:00
18,19,8.778208,2018-08-04 00:30:00,64468,64620,2018-08-03 13:00:00,0.01693918951273453,0.2986811481768813,136.0,2018-08-05 03:00:00
19,20,7.0225664,2018-08-14 00:15:00,65411,65590,2018-08-13 08:45:00,0.4257533204349675,0.25132625994694957,164.0,2018-08-15 05:30:00
20,21,22.1437376,2018-08-17 21:45:00,65817,65971,2018-08-17 14:15:00,0.23054480926058574,0.996516393442623,501.0,2018-08-19 04:45:00
21,22,11.2134528,2018-09-18 10:00:00,68815,68984,2018-09-17 19:45:00,0.41287688697280317,0.5611362700699877,249.0,2018-09-19 14:00:00
